Record Date,Country - Currency Description,Exchange Rate,Effective Date
2025-03-31,Afghanistan-Afghani,70.86,2025-03-31
2025-03-31,Albania-Lek,90.96,2025-03-31
2025-03-31,Algeria-Dinar,133.497,2025-03-31
2025-03-31,Angola-Kwanza,912.0,2025-03-31
2025-03-31,Antigua & Barbuda-East Caribbean Dollar,2.7,2025-03-31
2025-03-31,Argentina-Peso,1093.0,2025-03-31
2025-03-31,Argentina-Peso,1230.0,2025-04-15
2025-03-31,Armenia-Dram,390.0,2025-03-31
2025-03-31,Australia-Dollar,1.6,2025-03-31
2025-03-31,Austria-Euro,0.924,2025-03-31
2025-03-31,Azerbaijan-Manat,1.7,2025-03-31
2025-03-31,Bahamas-Dollar,1.0,2025-03-31
2025-03-31,Bahrain-Dinar,0.377,2025-03-31
2025-03-31,Bangladesh-Taka,121.0,2025-03-31
2025-03-31,Barbados-Dollar,2.02,2025-03-31
2025-03-31,Belarus-New Ruble,3.118,2025-03-31
2025-03-31,Belgium-Euro,0.924,2025-03-31
2025-03-31,Belize-Dollar,2.0,2025-03-31
2025-03-31,Benin-Cfa Franc,604.5,2025-03-31
2025-03-31,Bermuda-Dollar,1.0,2025-03-31
2025-03-31,Bolivia-Boliviano,6.86,2025-03-31
2025-03-31,Bosnia-Marka,1.807,2025-03-31
2025-03-31,Botswana-Pula,13.643,2025-03-31
2025-03-31,Brazil-Real,5.758,2025-03-31
2025-03-31,Brunei-Dollar,1.342,2025-03-31
2025-03-31,Bulgaria-Lev New,1.807,2025-03-31
2025-03-31,Burkina Faso-Cfa Franc,604.5,2025-03-31
2025-03-31,Burundi-Franc,2900.0,2025-03-31
2025-03-31,Cambodia-Riel,3990.5,2025-03-31
2025-03-31,Cameroon-Cfa Franc,605.6,2025-03-31
2025-03-31,Canada-Dollar,1.435,2025-03-31
2025-03-31,Cape Verde-Escudo,101.88,2025-03-31
2025-03-31,Cayman Islands-Dollar,0.82,2025-03-31
2025-03-31,Central African Republic-Cfa Franc,605.6,2025-03-31
2025-03-31,Chad-Cfa Franc,605.6,2025-03-31
2025-03-31,Chile-Peso,953.76,2025-03-31
2025-03-31,China-Renminbi,7.253,2025-03-31
2025-03-31,Colombia-Peso,4201.42,2025-03-31
2025-03-31,Comoros-Franc,456.07,2025-03-31
2025-03-31,Congo-Cfa Franc,605.6,2025-03-31
2025-03-31,Costa Rica-Colon,497.33,2025-03-31
2025-03-31,Cote D'Ivoire-Cfa Franc,604.5,2025-03-31
2025-03-31,Croatia-Euro,0.924,2025-03-31
2025-03-31,Croatia-Kuna,0.924,2025-03-31
2025-03-31,Cross Border-Euro,0.92,2025-03-31
2025-03-31,Cuba-Chavito,1.0,2025-03-31
2025-03-31,Cuba-Peso,24.0,2025-03-31
2025-03-31,Cyprus-Euro,0.924,2025-03-31
2025-03-31,Czech Republic-Koruna,22.371,2025-03-31
2025-03-31,Democratic Republic Of Congo-Congolese Franc,2863.0,2025-03-31
2025-03-31,Denmark-Krone,6.894,2025-03-31
2025-03-31,Djibouti-Franc,177.0,2025-03-31
